data,IPCA,IPCA acumulado
2016-10-19,0.19,1.174655016841595
2016-10-20,0.19,1.174655016841595
2016-10-21,0.19,1.174655016841595
2016-10-22,0.19,1.174655016841595
2016-10-23,0.19,1.174655016841595
2016-10-24,0.19,1.174655016841595
2016-10-25,0.19,1.174655016841595
2016-10-26,0.19,1.174655016841595
2016-10-27,0.19,1.174655016841595
2016-10-28,0.19,1.174655016841595
2016-10-29,0.19,1.174655016841595
2016-10-30,0.19,1.174655016841595
2016-10-31,0.19,1.174655016841595
2016-11-01,0.26,1.177709119885383
2016-11-02,0.26,1.177709119885383
2016-11-03,0.26,1.177709119885383
2016-11-04,0.26,1.177709119885383
2016-11-05,0.26,1.177709119885383
2016-11-06,0.26,1.177709119885383
2016-11-07,0.26,1.177709119885383
2016-11-08,0.26,1.177709119885383
2016-11-09,0.26,1.177709119885383
2016-11-10,0.26,1.177709119885383
2016-11-11,0.26,1.177709119885383
2016-11-12,0.26,1.177709119885383
2016-11-13,0.26,1.177709119885383
2016-11-14,0.26,1.177709119885383
2016-11-15,0.26,1.177709119885383
2016-11-16,0.26,1.177709119885383
2016-11-17,0.26,1.177709119885383
2016-11-18,0.26,1.177709119885383
2016-11-19,0.26,1.177709119885383
2016-11-20,0.26,1.177709119885383
2016-11-21,0.26,1.177709119885383
2016-11-22,0.26,1.177709119885383
2016-11-23,0.26,1.177709119885383
2016-11-24,0.26,1.177709119885383
2016-11-25,0.26,1.177709119885383
2016-11-26,0.26,1.177709119885383
2016-11-27,0.26,1.177709119885383
2016-11-28,0.26,1.177709119885383
2016-11-29,0.26,1.177709119885383
2016-11-30,0.26,1.177709119885383
2016-12-01,0.19,1.1799467672131654
2016-12-02,0.19,1.1799467672131654
2016-12-03,0.19,1.1799467672131654
2016-12-04,0.19,1.1799467672131654
2016-12-05,0.19,1.1799467672131654
2016-12-06,0.19,1.1799467672131654
2016-12-07,0.19,1.1799467672131654
2016-12-08,0.19,1.1799467672131654
2016-12-09,0.19,1.1799467672131654
2016-12-10,0.19,1.1799467672131654
2016-12-11,0.19,1.1799467672131654
2016-12-12,0.19,1.1799467672131654
2016-12-13,0.19,1.1799467672131654
2016-12-14,0.19,1.1799467672131654
2016-12-15,0.19,1.1799467672131654
2016-12-16,0.19,1.1799467672131654
2016-12-17,0.19,1.1799467672131654
2016-12-18,0.19,1.1799467672131654
2016-12-19,0.19,1.1799467672131654
2016-12-20,0.19,1.1799467672131654
2016-12-21,0.19,1.1799467672131654
2016-12-22,0.19,1.1799467672131654
2016-12-23,0.19,1.1799467672131654
2016-12-24,0.19,1.1799467672131654
2016-12-25,0.19,1.1799467672131654
2016-12-26,0.19,1.1799467672131654
2016-12-27,0.19,1.1799467672131654
2016-12-28,0.19,1.1799467672131654
2016-12-29,0.19,1.1799467672131654
2016-12-30,0.19,1.1799467672131654
2016-12-31,0.19,1.1799467672131654
2017-01-01,0.31,1.1836046021915263
2017-01-02,0.31,1.1836046021915263
2017-01-03,0.31,1.1836046021915263
2017-01-04,0.31,1.1836046021915263
2017-01-05,0.31,1.1836046021915263
2017-01-06,0.31,1.1836046021915263
2017-01-07,0.31,1.1836046021915263
2017-01-08,0.31,1.1836046021915263
2017-01-09,0.31,1.1836046021915263
2017-01-10,0.31,1.1836046021915263
2017-01-11,0.31,1.1836046021915263
2017-01-12,0.31,1.1836046021915263
2017-01-13,0.31,1.1836046021915263
2017-01-14,0.31,1.1836046021915263
2017-01-15,0.31,1.1836046021915263
2017-01-16,0.31,1.1836046021915263
2017-01-17,0.31,1.1836046021915263
2017-01-18,0.31,1.1836046021915263
2017-01-19,0.31,1.1836046021915263
2017-01-20,0.31,1.1836046021915263
2017-01-21,0.31,1.1836046021915263
2017-01-22,0.31,1.1836046021915263
2017-01-23,0.31,1.1836046021915263
2017-01-24,0.31,1.1836046021915263
2017-01-25,0.31,1.1836046021915263
2017-01-26,0.31,1.1836046021915263
2017-01-27,0.31,1.1836046021915263
2017-01-28,0.31,1.1836046021915263
2017-01-29,0.31,1.1836046021915263
2017-01-30,0.31,1.1836046021915263
2017-01-31,0.31,1.1836046021915263
2017-02-01,0.54,1.1899960670433607
2017-02-02,0.54,1.1899960670433607
2017-02-03,0.54,1.1899960670433607
2017-02-04,0.54,1.1899960670433607
2017-02-05,0.54,1.1899960670433607
2017-02-06,0.54,1.1899960670433607
2017-02-07,0.54,1.1899960670433607
2017-02-08,0.54,1.1899960670433607
2017-02-09,0.54,1.1899960670433607
2017-02-10,0.54,1.1899960670433607
2017-02-11,0.54,1.1899960670433607
2017-02-12,0.54,1.1899960670433607
2017-02-13,0.54,1.1899960670433607
2017-02-14,0.54,1.1899960670433607
2017-02-15,0.54,1.1899960670433607
2017-02-16,0.54,1.1899960670433607
2017-02-17,0.54,1.1899960670433607
2017-02-18,0.54,1.1899960670433607
2017-02-19,0.54,1.1899960670433607
2017-02-20,0.54,1.1899960670433607
2017-02-21,0.54,1.1899960670433607
2017-02-22,0.54,1.1899960670433607
2017-02-23,0.54,1.1899960670433607
2017-02-24,0.54,1.1899960670433607
2017-02-25,0.54,1.1899960670433607
2017-02-26,0.54,1.1899960670433607
2017-02-27,0.54,1.1899960670433607
2017-02-28,0.54,1.1899960670433607
2017-03-01,0.15,1.191781061143926
2017-03-02,0.15,1.191781061143926
2017-03-03,0.15,1.191781061143926
2017-03-04,0.15,1.191781061143926
2017-03-05,0.15,1.191781061143926
2017-03-06,0.15,1.191781061143926
2017-03-07,0.15,1.191781061143926
2017-03-08,0.15,1.191781061143926
2017-03-09,0.15,1.191781061143926
2017-03-10,0.15,1.191781061143926
2017-03-11,0.15,1.191781061143926
2017-03-12,0.15,1.191781061143926
2017-03-13,0.15,1.191781061143926
2017-03-14,0.15,1.191781061143926
2017-03-15,0.15,1.191781061143926
2017-03-16,0.15,1.191781061143926
2017-03-17,0.15,1.191781061143926
2017-03-18,0.15,1.191781061143926
2017-03-19,0.15,1.191781061143926
2017-03-20,0.15,1.191781061143926
2017-03-21,0.15,1.191781061143926
2017-03-22,0.15,1.191781061143926
2017-03-23,0.15,1.191781061143926
2017-03-24,0.15,1.191781061143926
2017-03-25,0.15,1.191781061143926
2017-03-26,0.15,1.191781061143926
2017-03-27,0.15,1.191781061143926
2017-03-28,0.15,1.191781061143926
2017-03-29,0.15,1.191781061143926
2017-03-30,0.15,1.191781061143926
2017-03-31,0.15,1.191781061143926
2017-04-01,0.21,1.194283801372328
2017-04-02,0.21,1.194283801372328
2017-04-03,0.21,1.194283801372328
2017-04-04,0.21,1.194283801372328
2017-04-05,0.21,1.194283801372328
2017-04-06,0.21,1.194283801372328
2017-04-07,0.21,1.194283801372328
2017-04-08,0.21,1.194283801372328
2017-04-09,0.21,1.194283801372328
2017-04-10,0.21,1.194283801372328
2017-04-11,0.21,1.194283801372328
2017-04-12,0.21,1.194283801372328
2017-04-13,0.21,1.194283801372328
2017-04-14,0.21,1.194283801372328
2017-04-15,0.21,1.194283801372328
2017-04-16,0.21,1.194283801372328
2017-04-17,0.21,1.194283801372328
2017-04-18,0.21,1.194283801372328
2017-04-19,0.21,1.194283801372328
2017-04-20,0.21,1.194283801372328
2017-04-21,0.21,1.194283801372328
2017-04-22,0.21,1.194283801372328
2017-04-23,0.21,1.194283801372328
2017-04-24,0.21,1.194283801372328
2017-04-25,0.21,1.194283801372328
2017-04-26,0.21,1.194283801372328
2017-04-27,0.21,1.194283801372328
2017-04-28,0.21,1.194283801372328
2017-04-29,0.21,1.194283801372328
2017-04-30,0.21,1.194283801372328
2017-05-01,0.24,1.1971500824956216
2017-05-02,0.24,1.1971500824956216
2017-05-03,0.24,1.1971500824956216
2017-05-04,0.24,1.1971500824956216
2017-05-05,0.24,1.1971500824956216
2017-05-06,0.24,1.1971500824956216
2017-05-07,0.24,1.1971500824956216
2017-05-08,0.24,1.1971500824956216
2017-05-09,0.24,1.1971500824956216
2017-05-10,0.24,1.1971500824956216
2017-05-11,0.24,1.1971500824956216
2017-05-12,0.24,1.1971500824956216
2017-05-13,0.24,1.1971500824956216
2017-05-14,0.24,1.1971500824956216
2017-05-15,0.24,1.1971500824956216
2017-05-16,0.24,1.1971500824956216
2017-05-17,0.24,1.1971500824956216
2017-05-18,0.24,1.1971500824956216
2017-05-19,0.24,1.1971500824956216
2017-05-20,0.24,1.1971500824956216
